name,countryCodes,openaddressesFiles
Aachen,DE,
Aarhus,DK,
Adelaide,AU,
Albuquerque,US,
Alexandria,EG,
Amsterdam,NL,
Antwerpen,BE,
Arnhem,NL,
Auckland,AU,
Augsburg,DE,
Austin,US,
Baghdad,IQ,
Baku,AZ,
Balaton,HU,
Bamberg,DE,
Bangkok,TH,
Barcelona,ES,
Basel,CH,
Beijing,CN,
Beirut,LB,
Berkeley,US,
Berlin,DE,
Bern,CH,
Bielefeld,DE,
Birmingham,UK,
Bochum,DE,
Bogota,CO,
Bombay,IN,
Bonn,DE,
Bordeaux,FR,
Boulder,US,
BrandenburgHavel,DE,
Braunschweig,DE,
Bremen,DE,
Bremerhaven,DE,
Brisbane,AU,
Bristol,UK,
Brno,CZ,
Bruegge,BE,
Bruessel,BE,
Budapest,HU,
BuenosAires,AR,
Cairo,EG,
Calgary,US,
Cambridge,UK,
CambridgeMa,US,
Canberra,AU,
CapeTown,ZA,
Chemnitz,DE,
Chicago,US,
ClermontFerrand,FR,
Colmar,FR,
Copenhagen,DK,
Cork,UK,
Corsica,FR,
Corvallis,US,
Cottbus,DE,
Cracow,PL,
CraterLake,US,
Curitiba,BR,
Cusco,BO,
Dallas,US,
Darmstadt,DE,
Davis,US,
DenHaag,NL,
Denver,US,
Dessau,DE,
Dortmund,DE,
Dresden,DE,
Dublin,IE,
Duesseldorf,DE,
Duisburg,DE,
Edinburgh,UK,
Eindhoven,NL,
Emden,DE,
Erfurt,DE,
Erlangen,DE,
Eugene,US,
Flensburg,DE,
FortCollins,US,
Frankfurt,DE,
FrankfurtOder,DE,
Freiburg,DE,
Gdansk,PL,
Genf,CH,
Gent,BE,
Gera,DE,
Glasgow,UK,
Gliwice,PL,
Goerlitz,DE,
Goeteborg,SE,
Goettingen,DE,
Graz,AT,
Groningen,NL,
Halifax,CA,
Halle,DE,
Hamburg,DE,
Hamm,DE,
Hannover,DE,
Heilbronn,DE,
Helsinki,FI,
Hertogenbosch,NL,
Huntsville,US,
Innsbruck,AT,
Istanbul,TR,
Jena,DE,
Jerusalem,IL,
Johannesburg,ZA,
Kaiserslautern,DE,
Karlsruhe,DE,
Kassel,DE,
Katowice,PL,
Kaunas,LV,
Kiel,DE,
Kiew,UA,
Koblenz,DE,
Koeln,DE,
Konstanz,DE,
LakeGarda,US,
LaPaz,BO,
LaPlata,BO,
Lausanne,CH,
Leeds,UK,
Leipzig,DE,
Lima,PE,
Linz,AT,
Lisbon,PT,
Liverpool,UK,
Ljubljana,SI,
Lodz,PL,
London,UK,
Luebeck,DE,
Luxemburg,LU,
Lyon,FR,
Maastricht,BE,
Madison,US,
Madrid,ES,
Magdeburg,DE,
Mainz,DE,
Malmoe,SE,
Manchester,UK,
Mannheim,DE,
Marseille,FR,
Melbourne,AT,
Memphis,US,
MexicoCity,MX,
Miami,US,
Minsk,RU,
Moenchengladbach,DE,
Montevideo,PY,
Montpellier,FR,
Montreal,CA,
Moscow,RU,
Muenchen,DE,
Muenster,DE,
NewDelhi,IN,
NewOrleans,US,
NewYork,US,
Nuernberg,DE,
Oldenburg,DE,
Oranienburg,DE,
Orlando,US,
Oslo,NO,
Osnabrueck,DE,
Ostrava,SK,
Ottawa,CA,
Paderborn,DE,
Palma,ES,
PaloAlto,US,
Paris,FR,
Perth,AU,
Philadelphia,US,
PhnomPenh,KH,
Portland,US,"us/or/portland_metro.csv,us/or/city_of_salem.csv,us/or/marion_and_polk.csv,us/or/marion.csv,us/or/hood_river.csv,us/wa/city_of_richland.csv,us/wa/clark.csv"
PortlandME,US,
Porto,PL,
PortoAlegre,BR,
Potsdam,DE,
Poznan,PL,
Prag,CZ,
Providence,US,
Regensburg,DE,
Riga,LT,
RiodeJaneiro,BR,
Rostock,DE,
Rotterdam,NL,
Ruegen,DE,
Saarbruecken,DE,
Sacramento,US,
Saigon,VN,
Salzburg,AT,
SanFrancisco,US,
SanJose,US,
SanktPetersburg,RU,
SantaBarbara,US,
SantaCruz,US,
Santiago,CL,
Sarajewo,BA,
Schwerin,DE,
Seattle,US,us/wa/king.csv
Seoul,KR,
Sheffield,US,
Singapore,SG,
Sofia,BG,
Stockholm,SE,
Stockton,US,
Strassburg,FR,
Stuttgart,DE,
Sucre,BO,
Sydney,AU,
Szczecin,PL,
Tallinn,EE,
Tehran,IR,
Tilburg,NL,
Tokyo,JP,
Toronto,CA,
Toulouse,PL,
Trondheim,SE,
Tucson,US,
Turin,IT,
UlanBator,MN,
Ulm,DE,
Usedom,DE,
Utrecht,NL,
Vancouver,CA,
Victoria,CA,
WarenMueritz,DE,
Warsaw,PL,
WashingtonDC,US,
Waterloo,CA,
Wien,AT,
Wroclaw,PL,
Wuerzburg,DE,
Wuppertal,DE,
Zagreb,HR,
Zuerich,CH,